"Code","Airline"
"3Z","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo "
"4C","Aerovias de Intergracian Regional "
"4EQ","Tanana Air Service "
"4H","Belize Trans Air "
"4N","Air North "
"4O","ABC Aerolineas SA de CV dba Interjet "
"4R","Regent Air Corporation "
"4T","Belair Airlines Ltd. "
"4W","Warbelow "
"4Y","Yute Air Aka Flight Alaska "
"5B","Bellair Inc. "
"5C","C.A.L Cargo Airlines "
"5D","Aerolitoral "
"5F","Arctic Circle Air Service "
"5L","Aerosur "
"5T","Air America "
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo "
"5X","United Parcel Service "
"5Y","Atlas Air Inc. "
"6A","Aviacsa Airlines "
"6C","Cape Smythe Air Service "
"6F","Laker Airways Inc. "
"6H","Israir Airlines "
"6P","Pacific East Air Inc. "
"6U","Air Ukraine "
"6Y","Nicaraguense De Aviacion Sa "
"7B","Krasair "
"7C","Jeju Air Co Ltd. "
"7F","First Air "
"7H","Era Aviation "
"7I","Insel Air International B V "
"7J","Skagway Air Service "
"7L","Silk Way West Airlines "
"7M","Aeromonterrey S.A. "
"7N","Inland Aviation Services "
"7P","Apa International Air S.A. "
"7Q","Pan American World Airways Dominicana "
"8C","Air Transport International "
"8E","Bering Air Inc. "
"8F","Wilburs Inc. "
"8I","Inselair Aruba NV "
"8J","Jetall Airways "
"8L","Servicio Aereo Leo Lopez "
"8N","Flagship Airlines Inc. "
"8Q","Baker Aviation Inc. "
"8R","Edelweiss Air Ag "
"8V","Wright Air Service "
"9I","Island Air Service "
"9J","Pacific Island Aviation "
"9K","Cape Air "
"9L","Colgan Air "
"9M","Central Mountain Air "
"9S","Southern Air Inc. "
"9T","TravelspanGT, Inc. S.A. "
"9V","Avior Airlines, C.A. "
"9W","Jet Airways "
"A0","Elysair d/b/a L'Avion "
"A2","Cielos De Peru "
"A4","Southern Wind Airlines "
"AA","American Airlines Inc. "
"AAA","Associated Aviation Act. "
"AAE","AAA Airlines "
"AAI","Audi Air Inc. "
"AAL","Argosy Air Lines Inc. "
"AAP","Armstrong Air Service Inc. "
"AAQ","Advance Air Charters "
"AAR","Altair Airlines Inc. "
"AAT","Air Sunshine Inc. "
"AAV","Alpine Air "
"AAZ","Alaska Aeronautical Indust. "
"AB","Air Berlin PLC and CO "
"ABH","Air Bahia "
"ABI","Airbama Incorporated "
"ABO","Aeronaves Boringuena Inc. "
"ABQ","Aeromar C. Por A. "
"AC","Air Canada "
"ACA","Alaska Central Airways Inc. "
"ACD","Academy Airlines "
"ACG","Air Cargo Express Inc. "
"ACH","Island Airlines Hawaii Inc. "
"ACI","AAA-Action Air Carrier Inc. "
"ACJ","Atlantic Coast Jet Inc. "
"ACK","Air Central Inc. "
"ACL","Check-Air Inc. "
"ACN","Alliance Airlines "
"ACO","Air Cargo Enterprises Inc. "
"ACP","Air Chaparral Inc. "
"ACQ","Aeronautica De Cancun "
"ACS","Alamo Commuter Airlines "
"ACT","Air Central Inc. "
"ACW","Transwest Air Express "
"ADB","Antonov Company "
"ADQ","Aeronaves Del Peru "
"ADR","Adirondack Airlines "
"ADV","Advantage Airlines "
"AE","Air Europe Limited "
"AEC","Astec Air East Inc. "
"AED","Air East Of Delaware Inc. "
"AEF","Aero Freight "
"AEO","Aero Coach "
"AEQ","Air Caravane Inc. "
"AEX","Air Excursions LLC "
"AF","Compagnie Natl Air France "
"AFA","American Flag Airlines Inc. "
"AFE","Air Florida Express "
"AFG","American Flight Group "
"AFQ","Aero B Venezuela C.A. "
"AFS","Arcata Flying Service "
"AGA","Air Cargo America Inc. "
"AGL","Atlantic Gulf Airlines "
"AGQ","Argo S. A. "
"AHA","Air Alpha "
"AHC","Air Hawaii "
"AHQ","Air National "
"AIA","All Island Air "
"AIC","Air Caribbean "
"AIE","Air Express Inc. "
"AIG","Airgo Inc. "
"AIK","Air Ketchum Idaho Inc. "
"AIM","Air Mont. Inc. "
"AIN","Air Indiana "
"AIQ","Norontair "
"AIT","Airways International "
"AIY","Alliance Air "
"AJ","Air Micronesia Inc. "
"AKQ","Airmark Airlines Inc. "
"AKS","Alaska Seaplane Service "
"ALD","Allied Airlines "
"ALE","Air-Lift Associates Inc. "
"ALI","Brandt Air "
"ALK","Air Link Airways "
"ALL","All Seasons Air Pacific "
"ALQ","Alberta Northern Airlines "
"ALS","Air L.A. "
"ALT","Altus Airlines "
"ALU","Aleutian Air "
"ALX","Atlanta Express "
"AM","Aeromexico "
"AMA","North American Airlines Inc. "
"AME","Americair Inc. "
"AMI","American Inter-Island Inc. "
"AMQ","Ameristar Air Cargo "
"AMR","AvAir "
"AMT","American Air Transport "
"AMW","Air Midwest Inc. "
"ANB","Air Nebraska Inc. "
"ANC","Atlantic Air "
"AND","Southcentral Air Inc. "
"ANE","Pacific Wings Airlines "
"ANI","Dash Air Corporation "
"ANM","Airways Of New Mexico Inc. "
"ANO","Metro Air Northeast Vermont "
"ANT","Air North/Nenana "
"AO","Aviacion Y Comercio S.A. "
"AOI","Trans New York "
"AON","Action Airlines "
"AOQ","Aerovias S.A. "
"AOR","Air New Orleans "
"APC","Air Puerto Rico Airlines "
"APE","Air Cape "
"APH","Alpha Air "
"API","Arizona Pacific Inc. "
"APL","Appalachian Flying Service "
"APN","Aspen Airways Inc. "
"APQ","Alas De Transporte International "
"APS","Air Spirit Inc. "
"APY","Air Polynesia Inc. "
"AQ","Aloha Airlines Inc. "
"AQQ","Air Charter "
"AR","Aerolineas Argentinas "
"ARA","Air Resorts Airlines "
"ARB","Air Caribe International "
"ARD","Airlift International "
"ARI","Arizona Aero Corp. "
"ARM","Airmarc Airlines Inc. "
"ARN","Arnold Aviation "
"ARO","Air Oregon "
"ARP","Airspur Helicopters Inc. "
"ARQ","Aerovias Colombianas Arca "
"ARR","Arrowhead Airways Inc. "
"ARS","Air Sedona "
"ARZ","Arizona Airways "
"AS","Alaska Airlines Inc. "
"ASC","Air South Inc. "
"ASD","Amistad Airlines "
"ASE","Arctic Circle Air Service "
"ASH","Air South "
"ASI","Alpine Air Services Inc. "
"ASN","Air Casino "
"ASP","Asap Air Inc. "
"ASQ","Aerosur "
"ASR","Astor Air "
"AST","Astro Airways "
"ASU","Air South "
"AT","Royal Air Maroc "
"ATA","Atlantic Southeast Airlines "
"ATD","Atlantic Coast Airlines "
"ATH","Air Southeast "
"ATN","Air Atlantic Airlines Inc. "
"ATO","Pacific National Airways "
"ATQ","Aero Tranportes Panamenos "
"ATS","Atlantis Airlines Inc. "
"ATT","Aerotransit Inc. "
"ATX","Air Carolina "
"AUQ","Antonov Design Bureau "
"AUX","Austin Express Inc. "
"AV","Aerovias Nacl De Colombia "
"AVA","Air Vectors Airways "
"AVC","Av Center Inc. "
"AVG","Airvantage "
"AVI","Aero Virgin Islands Corp. "
"AVL","Aviation Sales "
"AVQ","Aero Laguna S.A. De C.V. "
"AVR","Air Vermont Inc. "
"AVS","Aviation Services "
"AVZ","Southern Jersey Airways "
"AWA","Air West Airlines "
"AWQ","Aermediterranea S.P.A. "
"AX","Trans States Airlines "
"AXQ","Aeron International Airlines Inc. "
"AY","Finnair Oy "
"AYQ","Aerodan S.A. De C.V. "
"AZE","Arizona Express "
"AZP","Arizona Pacific Airways "
"AZQ","Anglo Airlines Ltd. "
"B0","Dreamjet SAS Dba La Compagnie "
"B6","JetBlue Airways "
"B8","Caribbean Airline Company "
"BA","British Airways Plc "
"BAA","Aero International Airlines "
"BAC","Business Aircraft Corp. "
"BAH","Brennan & Hargreaves Inc. "
"BAK","Bankair Inc. "
"BAN","Bangor International Air "
"BAQ","Aero Rentas De Coahuila S.A. De C.V. "
"BAR","Bard-Air Corp. "
"BAT","West Penn Commuter "
"BAY","Burlington Aeroplane Co. "
"BBQ","Balair Ag "
"BC","Skymark Airlines Inc. "
"BCA","Baja Cortez Airlines "
"BCQ","Bradley Air Services Ltd. "
"BD","British Midland Airways Ltd. "
"BDE","Jet Express "
"BDQ","Aerotaxis De Aguascalientes S.A. De C.V. "
"BE","Braniff International Airlines Inc. "
"BEA","Business Express Airlines "
"BEL","Bellair Inc. "
"BEN","Bennington Aviation Inc. "
"BEQ","Air Belgium "
"BER","Bering Air Inc. "
"BES","Aeroservices Executive "
"BEY","Beyer Aviation "
"BFG","Million Air "
"BFQ","Buffalo Airways Inc. "
"BG","Biman Bangladesh Airlines "
"BGQ","Airbus Transport Internat'l "
"BHK","Blackhawk Airways Inc. "
"BHO","Bighorn Airways Inc. "
"BHQ","Turks Air Ltd. "
"BIA","Big Island Air "
"BIQ","Servicios Aeronauticos Z S.A. De C.V. "
"BIR","Birchwood Air Service "
"BJQ","Taxirey S.A. De C.V. "
"BKR","Baker Aviation Inc. "
"BLQ","Air Bvi Limited "
"BM","Belize Air International Ltd. "
"BMJ","Bemidji Airlines "
"BMT","Bremerton Aviation Inc. "
"BOA","Boise Air Service "
"BOI","Bo-S-Aire Airlines Inc. "
"BOQ","Transp. Aereos Bolivianos "
"BQ","Aeromar C. Por A. "
"BRK","Barken International "
"BRO","Brower Airways Inc. "
"BRW","Barrow Air "
"BSA","Big Sky Airlines Inc. "
"BTQ","Brasair Transportes Aereos "
"BUH","Business Helicopters "
"BUR","Burlington Airways Inc. "
"BX","Air Busan "
"BXQ","Spantax S. A. "
"BY","Britannia Airways Ltd. "
"BYA","Bay Air "
"BZQ","Abaco Air, Ltd. "
"C2","Challenge Air Cargo Inc. "
"C5","Commutair Aka Champlain Enterprises, Inc. "
"C6","Canjet Airlines "
"CA","Air China "
"CAC","Coleman Air Transport "
"CAF","California Seaboard "
"CAI","Crawford Aviation Inc. "
"CAM","C & M Airlines "
"CAP","Metro Air Northeast N Y "
"CAQ","Challenge Air Luftverkehrs GmbH "
"CAT","Catalina Airlines Inc. "
"CAV","Air Virginia "
"CAZ","CAT Aviation "
"CB","Air One Inc. "
"CBA","Carriba Air Inc. "
"CCA","Cityhop "
"CCD","Cascade Airways Inc. "
"CCO","Chester County Aviation "
"CCQ","Capital Cargo International "
"CEA","Corporate Airlines "
"CEN","Cen-Tex Airlines Inc. "
"CEQ","All Canada Express "
"CET","Century Airlines "
"CF","Compan. De Aviacion Faucett "
"CGA","Chicago Airlines "
"CGE","Chicago Express Airlines "
"CGL","Viking International Airlines Inc. "
"CGO","Chicago Air Taxi "
"CGQ","Aerochago S.A. "
"CH","Bemidji Airlines "
"CHA","Chautauqua Airlines Inc. "
"CHD","Chandler Flyer "
"CHE","Charter Airlines "
"CHF","Hammonds Commuter Air Serv. "
"CHI","Chitina Air Service "
"CHL","Channel Flying Inc. "
"CHO","Choi Aviation Inc. "
"CHS","Christman Air System "
"CHT","Charter One "
"CI","China Airlines Ltd. "
"CIQ","A/S Conair "
"CIS","Cal Sierra Airlines "
"CJ","Colgan Airways Inc. "
"CJQ","Air Caribbean "
"CK","China Cargo Airline "
"CKI","Inlet Airlines "
"CL","Capitol International Inc. "
"CLB","Columbia Pacific Airlines "
"CLD","Hawaii Pacific Helicopters "
"CLF","California Air Shuttle "
"CLQ","Aero Transcolombiana "
"CM","Compania Panamena "
"CMB","Combs Airways Inc. "
"CMD","Command Airways Inc. "
"CMI","Comair Inc. "
"CMQ","Servicio De Carga Aerea Sa "
"CMR","Commuter Airlines "
"CMT","Commutair Aka Champlain Enterprises, Inc. "
"CNN","Centennial Airlines "
"CO","Continental Air Lines Inc. "
"COB","Cotton Belt Aviation Inc. "
"COC","Cochise Airlines Inc. "
"COK","Coker Aviation Inc. "
"COL","Presidential Express "
"COM","Commutair "
"COR","Coral Air Inc. "
"COS","Cosmopolitan Comm. Airline "
"COT","Southeastern Commuter "
"COU","Courtesy Air Service Inc. "
"CPA","Capitol Air Lines "
"CPC","Coastal Plains Commuter Inc. "
"CPE","Cape Air "
"CPQ","Capitol Air Express Inc. "
"CPT","Capitol Air "
"CQI","Conquest Airline Corp. "
"CRA","Commuter Airlines "
"CRB","Caribair "
"CRE","Caribbean Express Inc. "
"CRH","Cresent Medivac "
"CRN","Crown Aviaiton Inc. "
"CRO","Crown Airways Inc. "
"CRP","Corporate Air "
"CRQ","Conner Air Lines Inc. "
"CRT","Crested Butte Air Service "
"CRV","Acropolis Aviation Ltd. "
"CS","Continental Micronesia "
"CSA","Casino Airlines "
"CSK","Catskill Airways Inc. "
"CSL","Central States Air Lines "
"CSM","Chisum Flying Service "
"CSN","Casino Airlines "
"CSQ","Celtic Tech Jet Ltd. "
"CSY","Cape Smythe Air Service "
"CTA","Century Airlines "
"CTH","Cothron Aviation "
"CTL","Coastal Air Transport "
"CTQ","Custom Air Transport "
"CTR","Chartair "
"CUQ","Caicos Caribbean Airways "
"CUS","Custom Air Service "
"CV","Cargolux Airlines International S.A "
"CVA","Catalina-Vegas Airlines "
"CVQ","Caraven S.A. "
"CW","Air Marshall Islands Inc. "
"CWQ","Canadian Aviation Express "
"CX","Cathay Pacific Airways Ltd. "
"CXQ","Casino Express "
"CYQ","Corse Air International "
"CZQ","Aviation Concepts "
"D7","Air Asia X Berhad dba Airasia X "
"DA","Dan Air Services "
"DAN","Danbury Airlines "
"DAU","Dauphin Island Airways "
"DC","Caribbean Air Cargo Co Ltd. "
"DE","Condor Flugdienst "
"DEA","Downeast Airlines Inc. "
"DEC","Decatur Aviation "
"DFQ","Condor Flugdienst "
"DFS","Downeast Flying Service "
"DHL","DHL Airlines Inc. "
"DHQ","DHL Aero Expresso "
"DIA","Drummond Island Air "
"DIC","Dickman Aviation Services "
"DIR","Northern Star "
"DL","Delta Air Lines Inc. "
"DM","Maersk Air I/S "
"DO","Compania Dominicana De Avia "
"DOL","Dolphin Airways Inc. "
"DOQ","Aerolineas Dominicanas S A "
"DPA","Desert Pacific Airways "
"DPI","Desert Pacific Airlines Inc. "
"DQQ","Caribwest Airways Ltd. "
"DRQ","Apa International Air S.A. "
"DSA","Desert Sun Airlines "
"DST","Desert Airlines "
"DUL","Dulles Express "
"DUZ","Summit Airlines Inc. "
"DVO","Devoe Airlines "
"DWN","Dawn Air "
"DXA","Dolphin Express "
"DY","Norwegian Air Shuttle ASA "
"E0","EOS Airlines, Inc. "
"E7","Estafeta Carga Aereas "
"E72","European Aviation Air Charter "
"E8","USAfrica Airways Inc. "
"E9","Boston-Maine Airways "
"EA","Eastern Air Lines Inc. "
"EAI","Executive Aviation Inc. "
"EAQ","Executive Airlines, SL "
"EAS","Eastern Caribbean Airways "
"EAT","Eastman Airways Inc. "
"EBQ","Execaire Aviation Ltd. "
"ECA","Eagle Airlines "
"ECI","Eastern Carolina Aviation "
"ECL","Eclipse Airlines "
"ECQ","Trans American Charter "
"ECR","East Coast Airways "
"ED","Andes "
"EDE","Ede Aire "
"EE","Eastern Airlines Group Inc. "
"EET","Exec Express II "
"EEX","Exec Express "
"EEZ","Eagle Aviation Inc. "
"EFA","Executive Four Winds "
"EFQ","Trans Europ. Airways France "
"EGA","Eagle Airline "
"EGJ","Eagle Jet Charter "
"EGL","Eagle Commuter Airlines Inc. "
"EH","Saeta Airlines "
"EHA","East Hampton Aire Inc. "
"EI","Aer Lingus Plc "
"EIA","East. Indiana Aviation Sale "
"EJQ","Aeroejecutivos C.A. "
"EK","Emirates "
"EKA","Air Pacific Inc. "
"ELL","Ellis Air Taxi Inc. "
"EM","Empire Airlines Inc. "
"EMA","Emerald Airlines "
"EME","Metro Express "
"EMP","Empire Airlines Inc. "
"ENT","Enterprise Airlines Inc. "
"EOQ","Aeroservicios Ecuatorianos "
"EP","All Star Airlines Inc. "
"EPA","Empire Airlines Inc. "
"EQ","Tame Linea Aerea del Ecuador Tme EP "
"ERA","Era Aviation "
"ERI","Erie Airways Inc. "
"ERO","Empire Aero Service "
"ERQ","Aero Trades "
"ESQ","Seagreen Air Transport "
"ET","Ethiopian Airlines "
"EUQ","Air Atlanta Europe "
"EVA","Evanston Aviation "
"EVQ","Aeroejecutivo S.A. "
"EW","Eurowings GmbH "
"EWA","Rio Grande Air "
"EXA","Columbia Pacific Airlines "
"EXP","Express Airlines II "
"EXQ","Export Air Del Peru S.A. "
"EXR","Executive Transport "
"EXT","Executive Air Charter "
"EY","Etihad Airways "
"EZ","Evergreen International Inc. "
"F2","Omega Air Holdings d/b/a Focus Air "
"F8","Freedom Airlines d/b/a HP Expr "
"F9","Frontier Airlines Inc. "
"FAA","Falwell Aviation Inc. "
"FAC","Falcon Airways Inc. "
"FAQ","Fast Air Carrier Ltd. "
"FAR","Federal Armored Service Inc. "
"FB","Translift Airways Limited "
"FBI","Young Flying Service "
"FC","Fast Colombia SAS d/b/a Viva Colombia "
"FCA","Southern Airlines Inc. "
"FCQ","Falcon Air Express "
"FDA","Florida Airlines Inc. "
"FDM","Freedom Airlines Inc. "
"FDQ","Great American Airways "
"FE","Primaris Airlines Inc. "
"FED","Federal Express Corporation "
"FF","Tower Air Inc. "
"FFQ","Five Star Airlines "
"FFS","Frontier Flying Service "
"FGS","Flagship Airlines Inc. "
"FH","Frontier Horizon Inc. "
"FI","Icelandair "
"FLA","Florida Air "
"FLM","Flamenco Airways Inc. "
"FLR","Flirite Inc. "
"FM","Federal Express Corporation "
"FNQ","Fine Airlines Inc. "
"FOR","Ford-Aire Inc. "
"FOS","Foster Aviation "
"FP","TAG Aviation S.A. "
"FQ","Air Aruba "
"FRA","Freedom Air "
"FRS","Four Star Aviation "
"FRT","Frontier Commuter "
"FRW","Farwest Airlines "
"FS","Serv De Trans Aereos Fuegui "
"FSA","F.S. Air Service "
"FT","Flying Tiger Line Inc. "
"FTI","Southern Airways "
"FVA","Skycraft Inc. "
"FW","Skybus Inc. "
"FWA","Far West Airlines "
"FX","Federal Express Corporation "
"FYB","Flying Boat "
"G4","Allegiant Air "
"G7","GoJet Airlines LLC d/b/a United Express "
"G9","Grant Aviation "
"GA","P.T. Garuda Indonesian Arwy "
"GAL","Galena Air Service "
"GAQ","Galaxy Airlines Inc. "
"GAS","General Aviation Inc. "
"GAT","Gulf Air Taxi "
"GAV","Gromer Aviation Inc. "
"GBA","Central States Airline "
"GBQ","G5 Executive Ag "
"GCA","Golden Carriage Aire "
"GCH","Grand Canyon Helicopters "
"GCQ","General Air Cargo "
"GCS","Midway Commuter "
"GD","Transp. Aereos Ejecutivos "
"GDW","Golden West Airlines Inc. "
"GE","Lufthansa Cargo Airlines "
"GFC","Gulf Flite Center "
"GFQ","Gulf And Caribbean Cargo "
"GH","Ghana Airways Corporation "
"GHA","Green Hills Aviation Ltd. "
"GIQ","Global International Airways Corp. "
"GKQ","Laker Airways "
"GL","Miami Air International "
"GLA","Great Lakes Aviation Ltd. "
"GLF","Gulfstream Int "
"GLQ","Allegiant Air "
"GLW","Golden West Airlines Co. "
"GM","Air America "
"GMA","Green Mountain Airlines Ltd. "
"GOF","Copper State Airlines "
"GPA","GP Express Airlines "
"GQ","Big Sky Airlines Inc. "
"GR","Gemini Air Cargo Airways "
"GRA","Gorda Aero Service "
"GRD","Grand Canyon Airlines "
"GRO","Isle Royale Seaplane Serv. "
"GRT","Grant Aviation "
"GSA","Golden Gate Airlines Inc. "
"GSC","GCS Air Service "
"GSL","Golden South Airlines Inc. "
"GSQ","Global Supply System "
"GST","Golden State Airlines "
"GU","Aviateca "
"GUL","Gull Air Inc. "
"GUN","Gunnel Aviation Inc. "
"GV","Grant Aviation "
"GWA","Great Western Aviation "
"GWE","Ross Aviation Inc. "
"GX","Air Ontario Limited "
"GY","Guyana Airways Corporation "
"H2","City Bird "
"H5","Magadan Airlines "
"H6","Hageland Aviation Service "
"H7","Venture Travel LLC d/b/a Taquan Air Service "
"HA","Hawaiian Airlines Inc. "
"HAG","Hageland Aviation Service "
"HAQ","Hapag Lloyd Flug. "
"HAR","Friendship Air Alaska "
"HBQ","Harris Air Services "
"HCQ","Av Atlantic "
"HEL","Helitrans "
"HEP","Hub Express "
"HER","Markair Express "
"HET","Helitac Aviation "
"HEU","Heussler Air Service Corp "
"HFQ","Haiti Air Freight Intl "
"HFS","Hensley Flying Service Inc. "
"HIQ","Business Flights Ltd. "
"HJ","Air Haiti S. A. "
"HLQ","Heavylift Cargo Airlines Lt "
"HMZ","Long Island Airlines "
"HNA","Piedmont Airlines "
"HNS","Haines Airways "
"HO","Mid Pacific Airlines Inc. "
"HOL","Holiday Airlines Inc. "
"HOQ","Holidair Airways "
"HOR","Iowa Airlines "
"HOZ","Horizon Air "
"HP","America West Airlines Inc. "
"HPZ","Pacific Coast Airlines "
"HQQ","Harlequin Air Corporation "
"HRA","Trans-National Airlines Haw "
"HRG","Heritage Airlines "
"HRQ","Tar Airlines "
"HRZ","Allegheny Airlines "
"HSV","Harbor Air Service "
"HSZ","Scenic Airlines Inc. "
"HUB","Skystream Airlines "
"HVQ","Transavia Holland B. V. "
"HWK","Hawking Corporation "
"HY","Uzbekistan Airways "
"HYA","Hyannis Aviation "
"I4","Scott Air LLC dba Island Air Express "
"IA","Iraqi Airways "
"IAS","Island Air Service "
"IB","Iberia Air Lines Of Spain "
"ICF","Iowa City Flying Service "
"ICH","Island Air Charters "
"ICQ","Iscargo Hf "
"IDQ","Intl Air Service Co. Ltd. "
"IEX","Island Air Express "
"IG","Meridiana S.p.A "
"IGA","Global Jet Austria, GmbH "
"III","Idee Industries Inc. "
"IKQ","Tradewinds Airways Ltd. "
"ILL","Air Illinois Inc. "
"IMP","Imperial Airlines Inc. "
"IN","Aerlinte Eireann Teoranta "
"INA","Inland Empire Airlines Inc. "
"IND","Indiana Airways Inc. "
"INL","Inland Aviation Services "
"INQ","Independent Air Inc. "
"IOW","Iowa Airways "
"IPI","Indo-Pacific International "
"IPQ","Aruba Cargo "
"IPS","Island Express "
"IR","Iran National Airlines Corp "
"IRQ","Interstate Airlines Inc. "
"ISL","Island Airlines "
"ITQ","Interamericana De Aviacion "
"IXQ","Inair "
"J2","Azerbaijan Airlines CJSC "
"J6","Larrys Flying Service "
"J7","Valujet Airlines Inc. "
"JAG","JetAlliance Flugbetriebs d/b/a JAF Airservice "
"JAM","Sunbelt Airlines Inc. "
"JAQ","Jamaica Air Freighters "
"JB","Helijet International Inc. "
"JCM","Air Chico "
"JCQ","Jet Connection Businessflight Ag "
"JCZ","Rocky Mountain Airways Inc. "
"JD","Japan Air System Co. Ltd. "
"JER","Jer-Don Air "
"JF","L.A.B. Flying Service Inc. "
"JH","Amerijet International "
"JIQ","Jet Fleet Intl. Airlines "
"JJ","Transportes Aeros Meridiona "
"JKQ","Express One International Inc. "
"JL","Japan Air Lines Co. Ltd. "
"JM","Air Jamaica Limited "
"JMA","Jim Air Inc. "
"JN","Excel Airways "
"JO","Jalways Co. Ltd. "
"JQ","Jetstar Airways Pty Limited "
"JR","Aero California "
"JTA","Jetaire Airlines Inc. "
"JW","Arrow Air Inc. "
"JXQ","Allarco Developments Ltd. "
"JZ","Japan Air Charter Co. Ltd. "
"K3","Venture Travel LLC d/b/a Taquan Air Service "
"K7","Arizona Express "
"KA","Hong Kong Dragonair "
"KAH","Kenmore Air Harbor "
"KAI","Knight Airlines Inc. "
"KAQ","Kalitta Air LLC "
"KAT","Katmai Air "
"KB","Haiti Air "
"KD","Western Global "
"KE","Korean Air Lines Co. Ltd. "
"KEA","Keene Airways "
"KEE","Key Airlines "
"KEQ","Key Airlines Inc. "
"KET","Ketchikan Air Service "
"KFS","King Flying Service "
"KH","Aloha Air Cargo "
"KI","Time Air Ltd. "
"KIN","Golden Pacific Airlines "
"KKQ","Transmeridian Air Cargo Ltd. "
"KL","Klm Royal Dutch Airlines "
"KLQ","Kalitta Charters II "
"KM","Air Malta "
"KN","Morris Air Corporation "
"KO","Alaska Central Express "
"KOD","Kodiak Airways Inc. "
"KP","Kiwi International "
"KS","Peninsula Airways Inc. "
"KTQ","Turks Air Ltd. "
"KU","Kuwait Airways Corp. "
"KWQ","Kelowna Flightcraft Air Cha "
"KWZ","Crown Air "
"KX","Cayman Airways Limited "
"KXQ","Cayman Airways Limited "
